,product_name,price,detail,year_purchase
236,TOP TIRANTES RAYAS,"5,00 EUR",['Como nuevo'], 
237,BOLSO HOMBRO TEJIDO VOLANTES,"20,00 EUR",['Como nuevo'], 2022
238,VESTIDO MIDI CREMALLERAS ZW COLLECTION,"15,00 EUR",['Nuevo con etiquetas'], 2023
239,VESTIDO LARGO CROCHET,"21,99 EUR",['Nuevo con etiquetas'], 
240,VESTIDO MIDI BORDADOS PERFORADOS,"25,00 EUR",['Nuevo con etiquetas'], 2024
241,VESTIDO MIDI BORDADOS,"20,00 EUR",['Como nuevo'], 2023
242,VESTIDO CANALÉ BOTONES,"15,00 EUR",['Como nuevo'], 2023
243,CHAQUETA PUNTO POMPONES,"15,00 EUR",['Como nuevo'], 2022
244,BOTÍN PIEL PUNTA ENGOMADA,"20,00 EUR",['Nuevo con etiquetas'], 
245,PENDIENTES MONEDAS,"8,00 EUR",['Nuevo con etiquetas'], 
246,VESTIDO TÚNICA NUDO,"15,00 EUR",['Como nuevo'], 
247,CUERPO DESFLECADO,"13,00 EUR",['Como nuevo'], 
248,FALDA SATINADA ESTAMPADA,"15,00 EUR",['Como nuevo'], 
249,SHORTS STRAIGHT ESTAMPADO,"7,00 EUR",['Como nuevo'], 
250,SANDALIA TACÓN RASO,"20,00 EUR",['Como nuevo'], 2022
251,CUERPO MICROPANA COMBINADO,"13,00 EUR",['Como nuevo'], 
252,VESTIDO TERCIOPELO PLIEGUES,"21,00 EUR",['Nuevo con etiquetas'], 2023
253,PANTALÓN BOXER COMBINADO,"25,00 EUR",['Nuevo con etiquetas'], 2024
254,PANTALÓN PLIEGUES,"15,00 EUR",['Nuevo con etiquetas'], 2023
255,JEANS ZW THE BOOTCUT FLARE,"17,00 EUR",['Bueno'], 2022
256,PANTALÓN CONTRASTES CINTURÓN,"25,00 EUR",['Nuevo con etiquetas'], 2023
257,VESTIDO PUNTO POINTELLE,"18,00 EUR",['Nuevo con etiquetas'], 
258,VESTIDO CORTO PALABRA DE HONOR,"20,00 EUR",['Como nuevo'], 2023
259,VESTIDO LENCERO BOTONES,"36,00 EUR",['Nuevo con etiquetas'], 2023
260,VESTIDO CUT OUT BOTONES,"15,00 EUR",['Como nuevo'], 
261,VESTIDO ESTAMPADO FLORAL,"25,00 EUR",['Como nuevo'], 2022
262,SHORTS BARBIE™ MATTEL,"12,95 EUR",['Nuevo con etiquetas'], 2023
263,JEANS TRF WIDE LEG TIRO MEDIO FULL LENGTH,"8,00 EUR",['Como nuevo'], 2023
264,PENDIENTES CASCADA BRILLOS,"12,00 EUR",['Nuevo con etiquetas'], 2022
265,TOP BUSTIER LIMITED EDITION,"15,00 EUR",['Como nuevo'], 
266,FALDA CUADROS NUDO,"15,00 EUR",['Como nuevo'], 
