,index,product_name,normal_price,special_price,made_in,standard_soc_ma,algodon,poliester,elastano,viscosa,lana,poliuretano,piel,acrilico,lino,otras,fibra,liocel,poliamida,elastodieno,nailon,alpaca,elastomultiester,estireno,main_txt,total_composition,1_composition,second_txt,2_composition,tercer_elemento,num_tercer_elemento,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,certificacion_2,intertek
438,188,Chaqueta,"49,95                                          ","29,99                                          ",Myanmar,True,0.14,0.86,,,,,,,,,,,,,,,,,poliester,2,0.86,algodon,0.14,,,,,,,,,,,,,,,False
439,191,Chaqueta,"39,95                                          ","22,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.4,,,,,,,,True
440,195,Other,"25,95                                          ","17,99                                          ",India,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
441,196,Other,"25,95                                          ","15,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
442,197,Chaqueta,"49,95                                          ","29,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
443,200,Pantalon,"25,95                                          ","12,99                                          ",Camboya,True,,0.64,0.03,0.33,,,,,,,,,,,,,,,poliester,3,0.64,viscosa,0.33,elastano,3.0,,RCS,,,0.61,,,,,,,,True
449,202,Jeans,"29,95                                          ","17,99                                          ",Tunez,True,0.91,0.07,0.02,,,,,,,,,,,,,,,,algodon,3,0.91,poliester,0.07,elastano,2.0,,RCS,,,,0.2,,,,,,RCS,True
450,203,Other,"19,95                                          ","12,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
451,204,Chaqueta,"59,95                                          ","29,99                                          ",China,True,,,,,,,,,,,,1.0,,,,,,,liocel,1,1.0,,,,,,,,,,,,,,,,,False
453,205,Pantalon,"22,95                                          ","12,99                                          ",Turquia,True,,0.75,0.06,0.19,,,,,,,,,,,,,,,poliester,3,0.75,viscosa,0.19,elastano,6.0,,RCS,,,0.75,,,,0.06,,,RCS,True
455,206,Camisa,"29,95                                          ","17,99                                          ",Marruecos,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,,,1.0,,,,,,OCS,,,True
456,209,Falda,"39,95                                          ","19,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
458,211,Calzado,"25,95                                          ","15,99                                          ",China,True,0.55,0.45,,,,,,,,,,,,,,,,,algodon,2,0.55,poliester,0.45,,,,,,,,,,,,,,,False
459,213,Jersey,"29,95                                          ","15,99                                          ",Bangladesh,True,,,,,0.14,,,0.86,,,,,,,,,,,acrilico,2,0.86,lana,0.14,,,,RCS,,,,,,0.3,,,,RCS,True
460,215,Other,"49,95                                          ","25,99                                          ",Vietnam,True,,0.95,,,,,,,,,,,,,,,,5,poliester,2,0.95,estireno,0.05,,,,,,,,,,,,,,,False
461,216,Chaqueta,"35,95                                          ","19,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,RCS,,0.5,,0.2,,,,OCS,,RCS,True
462,217,Jersey,"19,95                                          ","12,99                                          ",Bangladesh,True,,,,0.88,,,,,,,0.06,,0.06,,,,,,viscosa,3,0.88,poliamida,0.06,fibra,6.0,,,,,,,,,,,,,False
463,218,Other,"39,95                                          ","22,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
464,220,Calzado,"25,95                                          ","15,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
465,221,Jersey,"25,95                                          ","12,99                                          ",China,True,0.71,0.29,,,,,,,,,,,,,,,,,algodon,2,0.71,poliester,0.29,,,,RCS,,,0.29,0.4,,,,,,RCS,True
466,224,Other,"19,95                                          ","9,99                                           ",Turquia,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
467,225,Camiseta,"9,95                                           ","5,99                                           ",Bangladesh,True,0.95,,0.05,,,,,,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,OCS,,,0.95,,,,,,OCS,,,True
473,227,Other,"22,95                                          ","15,99                                          ",Vietnam,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
474,229,Chaqueta,"49,95                                          ","29,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
475,230,Chaqueta,"49,95                                          ","29,99                                          ",Camboya,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
