,index,product_name,price,made_in,standard_soc_ma,algodon,poliamida,elastano,lino,viscosa,poliester,modal,otras,liocel,fibra,acrilico,lana,seda,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,intertek
121,121,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
122,122,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,0.5,,,,,,OCS,0.5,True
123,123,Camiseta Heavy Cotton,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
124,124,Camiseta Oversize,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
125,125,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
126,126,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,0.5,,,,,,OCS,0.5,True
127,127,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
128,128,Camiseta Rib,19.95,Turquia,True,0.97,,0.03,,,,,,,,,,,algodon,2,0.97,elastano,0.03,,,,,,,,,,None,,False
129,129,Camiseta Rib,8.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
130,130,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
131,131,Camiseta Oversize,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
132,132,Camiseta Oversize,15.95,Pakistan,True,0.85,,0.05,,,0.1,,,,,,,,algodon,3,0.85,elastano,0.05,,RCS,algodon ,,0.1,0.2,,,,OCS,,True
133,133,Camiseta Algodon Basica,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
134,134,Camiseta Rib,9.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,OCS,,,0.95,,,,,,OCS,0.95,True
135,135,Camiseta Algodon Basica,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
136,136,Camiseta Temporada,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
137,137,Camiseta Temporada,15.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,OCS,,,0.95,,,,,,OCS,0.95,True
138,138,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
139,139,Camiseta Temporada,12.95,Marruecos,True,0.95,,,,,0.05,,,,,,,,algodon,2,0.95,poliester,0.05,,,,,,,,,,None,,False
140,140,Camiseta Poliamida,8.95,Bangladesh,True,,0.9,0.1,,,,,,,,,,,poliamida,2,0.9,elastano,0.1,,,,,,,,,,None,,False
141,141,Camiseta Rib,9.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,OCS,,,0.95,,,,,,OCS,0.95,True
142,142,Camiseta Poliamida,8.95,Bangladesh,True,,0.9,0.1,,,,,,,,,,,poliamida,2,0.9,elastano,0.1,,,,,,,,,,None,,False
143,143,Camiseta Temporada,12.95,Portugal,True,,,,,,1.0,,,,,,,,poliester,1,1.0,,,,,,,,,,,,None,,False
144,144,Camiseta Poliamida,8.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
